廠商名稱,SVG_ID,攤位編號,產業類別,內容
AZ,svg_658,101,醫療儀器,小禮品，抽獎活動
AZ,svg_659,101,醫療儀器,小禮品，抽獎活動
FMC,svg_661,102,藥廠,小禮品，抽獎活動
FMC,svg_662,102,藥廠,小禮品，抽獎活動
FMC,svg_663,102,藥廠,小禮品，抽獎活動
中化,svg_665,103,藥廠,小禮品，抽獎活動
中化,svg_666,103,藥廠,小禮品，抽獎活動
益富,svg_668,104,藥廠,小禮品，抽獎活動
益富,svg_669,104,藥廠,小禮品，抽獎活動
亞培,svg_671,105,藥廠,小禮品，抽獎活動
亞培,svg_672,105,藥廠,小禮品，抽獎活動
偉喬,svg_674,106,藥廠,小禮品，抽獎活動
偉喬,svg_675,106,藥廠,小禮品，抽獎活動
偉喬,svg_677,106,藥廠,小禮品，抽獎活動
偉喬,svg_678,106,藥廠,小禮品，抽獎活動
台田,svg_680,107,藥廠,小禮品，抽獎活動
台田,svg_681,107,藥廠,小禮品，抽獎活動
台田,svg_683,107,藥廠,小禮品，抽獎活動
台田,svg_684,107,藥廠,小禮品，抽獎活動
Everest,svg_686,108,藥廠,小禮品，抽獎活動
Everest,svg_687,108,藥廠,小禮品，抽獎活動
Everest,svg_688,108,藥廠,小禮品，抽獎活動
Everest,svg_689,108,藥廠,小禮品，抽獎活動
Everest,svg_690,108,藥廠,小禮品，抽獎活動
Everest,svg_691,108,藥廠,小禮品，抽獎活動
Everest,svg_692,108,藥廠,小禮品，抽獎活動
泰和碩,svg_694,109,藥廠,小禮品，抽獎活動
泰和碩,svg_695,109,藥廠,小禮品，抽獎活動
泰和碩,svg_696,109,藥廠,小禮品，抽獎活動
萬益特,svg_698,110,藥廠,小禮品，抽獎活動
萬益特,svg_699,110,藥廠,小禮品，抽獎活動
萬益特,svg_700,110,藥廠,小禮品，抽獎活動
萬益特,svg_702,110,藥廠,小禮品，抽獎活動
萬益特,svg_703,110,藥廠,小禮品，抽獎活動
萬益特,svg_704,110,藥廠,小禮品，抽獎活動
諾華,svg_706,111,藥廠,小禮品，抽獎活動
諾華,svg_707,111,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_709,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_710,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_711,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_712,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_713,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_714,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_715,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_716,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_717,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_718,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_719,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_720,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_721,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_722,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_723,112,藥廠,小禮品，抽獎活動
Vera Therapeutics,svg_724,112,藥廠,小禮品，抽獎活動
百靈佳,svg_726,113,藥廠,小禮品，抽獎活動
百靈佳,svg_727,113,藥廠,小禮品，抽獎活動
百靈佳,svg_728,113,藥廠,小禮品，抽獎活動
幸昌生技,svg_730,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_731,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_732,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_733,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_735,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_736,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_737,114,藥廠,小禮品，抽獎活動
幸昌生技,svg_738,114,藥廠,小禮品，抽獎活動
幸昌醫藥,svg_740,114,藥廠,小禮品，抽獎活動
幸昌醫藥,svg_741,114,藥廠,小禮品，抽獎活動
幸昌醫藥,svg_742,114,藥廠,小禮品，抽獎活動
幸昌醫藥,svg_743,114,藥廠,小禮品，抽獎活動
大昌華嘉,svg_745,115,藥廠,小禮品，抽獎活動
大昌華嘉,svg_746,115,藥廠,小禮品，抽獎活動
大昌華嘉,svg_747,115,藥廠,小禮品，抽獎活動
大昌華嘉,svg_748,115,藥廠,小禮品，抽獎活動
寶齡富錦,svg_750,116,藥廠,小禮品，抽獎活動
寶齡富錦,svg_751,116,藥廠,小禮品，抽獎活動
寶齡富錦,svg_752,116,藥廠,小禮品，抽獎活動
寶齡富錦,svg_753,116,藥廠,小禮品，抽獎活動
吉泰,svg_755,117,藥廠,小禮品，抽獎活動
吉泰,svg_756,117,藥廠,小禮品，抽獎活動
一成,svg_758,118,藥廠,小禮品，抽獎活動
一成,svg_759,118,藥廠,小禮品，抽獎活動
新穎,svg_761,119,藥廠,小禮品，抽獎活動
新穎,svg_762,119,藥廠,小禮品，抽獎活動
新漢,svg_764,119,藥廠,小禮品，抽獎活動
新漢,svg_765,119,藥廠,小禮品，抽獎活動
米飛,svg_767,120,藥廠,小禮品，抽獎活動
米飛,svg_768,120,藥廠,小禮品，抽獎活動
拜耳,svg_770,121,藥廠,小禮品，抽獎活動
拜耳,svg_771,121,藥廠,小禮品，抽獎活動
華江,svg_773,122,藥廠,小禮品，抽獎活動
華江,svg_774,122,藥廠,小禮品，抽獎活動
賽諾菲,svg_776,123,藥廠,小禮品，抽獎活動
賽諾菲,svg_777,123,藥廠,小禮品，抽獎活動
賽諾菲,svg_778,123,藥廠,小禮品，抽獎活動
英禾美,svg_780,124,藥廠,小禮品，抽獎活動
英禾美,svg_781,124,藥廠,小禮品，抽獎活動
英禾美,svg_782,124,藥廠,小禮品，抽獎活動
英禾美,svg_784,124,藥廠,小禮品，抽獎活動
英禾美,svg_785,124,藥廠,小禮品，抽獎活動
英禾美,svg_786,124,藥廠,小禮品，抽獎活動
FMC,svg_799,125,藥廠,小禮品，抽獎活動
FMC,svg_800,125,藥廠,小禮品，抽獎活動
FMC,svg_801,125,藥廠,小禮品，抽獎活動
大塚,svg_805,126,藥廠,小禮品，抽獎活動
大塚,svg_806,126,藥廠,小禮品，抽獎活動
大塚,svg_813,126,藥廠,小禮品，抽獎活動
大塚,svg_814,126,藥廠,小禮品，抽獎活動
佳醫,svg_816,127,藥廠,小禮品，抽獎活動
佳醫,svg_817,127,藥廠,小禮品，抽獎活動
諾和諾德,svg_819,128,藥廠,小禮品，抽獎活動
諾和諾德,svg_820,128,藥廠,小禮品，抽獎活動
諾和諾德,svg_821,128,藥廠,小禮品，抽獎活動
諾和諾德,svg_822,128,藥廠,小禮品，抽獎活動
GSK,svg_824,129,藥廠,小禮品，抽獎活動
GSK,svg_825,129,藥廠,小禮品，抽獎活動
GSK,svg_826,129,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_828,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_829,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_830,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_831,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_832,130,藥廠,小禮品，抽獎活動
費森尤斯卡比,svg_833,130,藥廠,小禮品，抽獎活動
幸昌生技,svg_851,131,藥廠,小禮品，抽獎活動
幸昌生技,svg_852,131,藥廠,小禮品，抽獎活動
幸昌生技,svg_853,131,藥廠,小禮品，抽獎活動
幸昌生技,svg_854,131,藥廠,小禮品，抽獎活動
1,svg_32,1,大會,小禮品，抽獎活動
2,svg_35,2,大會,小禮品，抽獎活動
3,svg_123,3,大會,小禮品，抽獎活動
4,svg_105,4,大會,小禮品，抽獎活動
5,svg_102,5,大會,小禮品，抽獎活動
6,svg_131,6,大會,小禮品，抽獎活動
7,svg_38,7,展廳,小禮品，抽獎活動
8,svg_56,8,展廳,小禮品，抽獎活動
9,svg_69,9,展廳,小禮品，抽獎活動
10,svg_87,10,展廳,小禮品，抽獎活動
11,svg_92,11,展廳,小禮品，抽獎活動
12,svg_59,12,展廳,小禮品，抽獎活動
13,svg_64,13,展廳,小禮品，抽獎活動
14,svg_113,14,大會,小禮品，抽獎活動
15,svg_72,15,大會,小禮品，抽獎活動
16,svg_108,16,點心,小禮品，抽獎活動
17,svg_97,17,論文,小禮品，抽獎活動
18,svg_77,18,洗手間,系統平台
19,svg_82,19,洗手間,系統平台
20,svg_118,20,洗手間,系統平台
21,svg_126,21,洗手間,系統平台
